YWCA of the City of New York,2127554500,http://www.ywcanyc.org,"Established in 1858, the YWCA of the City of New York is one of the nationï¿½s oldest non-profit organizations. Our mission is to address the critical needs of New York City women and to empower them for success and leadership in their lives, jobs and communities. We focus on underserved families through job training, educational child care and after school programs; partnerships with business, government and other not-for-profits; and advocacy on behalf of the clients we serve.",,,,,,,,,,,,,,
RightRides for Women's Safety,7185220822,http://www.rightrides.org,"Our mission is to build safer communities by ending gender-based violence, from sexual harassment to assault.  We accomplish this through community organizing, offering direct service programs, plus fostering greater safety awareness and individual empowerment in our related educational programs.

In our central program, RightRides, we offer women and transgender individuals a free, late-night ride home to ensure their safe commute to or through high-risk areas.  Since 2004, RightRides has driven nearly 2,000 Riders safely home in 45 NYC neighborhoods.",40.693244,-73.99066,,,,,,,,,,,,
Charles B. Wang Community Health Center,2129660228,http://www.cbwchc.org/hcs/wh/wh.html,"The Women's Health Department is a unique community based health care program serving uninsured women in New York City. The majority of our clients are low income women who are recent immigrants. The Health Center provides a wide array of primary and specialty services, including gynecological care, family planning, pregnancy testing, prenatal and postnatal care, genetic and nutritional counseling, breast-feeding education, screening and education for HIV and STD infections, and screening and education for breast, cervical, ovarian and prostate cancers. The Women's Health Department also sponsors many outreach and health education programs to promote and increase the community's awareness of women's health issues.",,,,,,,,,,,,,,
American-Italian Cancer Foundation's Mobile Mammography Program,2126289090,http://www.americanitaliancancer.org,"Founded in 1980, the American-Italian Cancer Foundation (AICF) supports cancer research, education, and early detection, emphasizing the unique resources of Italy and the United States, recognizing world-class scientific excellence in medicine, and serving the medically underserved in New York City through cancer screening, outreach, and education.

AICF has been involved in providing mobile mammography services for over 20 years.  The purpose of the Mobile Mammography Program is to provide no-cost or low-cost mammography services to underserved women in New York City through our mobile mammography vans and portable mammography equipment.  Underserved women typically face economic, cultural or linguistic barriers to health care.  By partnering with community-based organizations and institutions, AICF brings mammography services directly to women in their communities.

To request our mobile vans or equipment, please call 212-628-9090.",40.770141,-73.96367,,,,,,,,,,,,
QHC-Diabetes Center,7188833172,http://nyc.gov,"We have an American Diabetes Association Recognized Diabetes Self-Management Education program- we provide 1:1 counseling and group education to people who are diagnosed with type 1 diabetes or type 2 diabetes.
the education is done in a classroom setting, we also offer a diabetes support group which meets once a month, every 4th Thursday of every month.",40.71725,-73.803433,,,,,,,,,,,,
Legal Momentum,2129256635,http://www.legalmomentum.org,"Founded in 1970 as NOW Legal Defense and Education Fund, Legal Momentum is the nation's oldest legal advocacy organization dedicated to advancing the rights of women and girls. Legal Momentum is a leader in establishing litigation and public policy strategies to secure equality and justice for women. Its groundbreaking work on behalf of women and girls is currently focused on freedom from violence against women, equal work and equal pay, the health of women and girls, strong families, and strong communities. Its ambitious and wide-ranging legal program is known for its cutting-edge legal theories and as a source of expert assistance to other women?s rights attorneys and organizations.

Legal Momentum occupies a unique position as a multi-issue organization dedicated solely to women?s rights. Its strategic litigation, advocacy and public education programs use the power of law to open opportunities closed to women and to ensure that all women can build safe and secure lives for themselves.",40.729135,-74.007043,,,,,,,,,,,,
Young Mothers Program/BBBS,2126862042,http://www.bigsnyc.org,"This program, which began in the Bronx, is now serving pregnant and parenting teenage girls city-wide. We match female mentors with pregnant teens or teenage mothers who could benefit from an additional source of support and are open to a new friendship. Mentors have the opportunity to spend time with the teen moms and their children on outings focused on bonding and positive parenting and they also spend one on one time with the teen mom.
Through these matches, the teenage mothers increase their feeling of self-worth and learn to become more self-sufficient. Research shows that with additional support and motivation, young mothers can avoid further unwanted pregnancies and long-term dependence on welfare. 100% of the young mothers in our program showed measurable improvement in school performance, motivation and attendance after being matched for at least six months.
Program managers are available to refer participants to critical parenting-related services to address immediate fin",40.742923,-73.979253,,,,,,,,,,,,
Shorefront YM-YWHA,7186461444,http://shorefronty.org,Community center and settlement house serving south Brooklyn with programming and services for people of all ages.  Specialty is serving Russian speaking immigrants and their families.,40.575607,-73.959463,,,,,,,,,,,,
Federally Employed Women (FEW),6312584081,http://www.few.org,"FEW is an advocacy organization for women working for the federal government, working to eliminate barriers to advancement through education, networking, and representation before the Administration and Congress.",,,,,,,,,,,,,,
Sauti Yetu Center for African,7186652486,http://www.sautiyetu.org,"Sauti Yetu Center for African Women, whose name means ""Our Voice"" in Swahili, is a community-based nonprofit organization that seeks to inspire African immigrant women and girls to individual and collective self-empowerment.  It was founded in 2004 to address a broad spectrum of needs and concerns of women and girls from New York City's African immigrant and refugee community including female genital cutting, domestic and family violence prevention and enhancing women's and girls' leadership.",,,,,,,,,,,,,,
National Latina Institute for Reproductive Health,2124222553,http://www.latinainstitute.org,"The mission of NLIRH is to ensure the fundamental human right to reproductive health and justice for Latinas, their families and their communities through public education, community mobilization and policy advocacy.",,,,,,,,,,,,,,
